"table","totalRecords","column","displayName","type","isCustom","nonNull","nullCount","nullPct","isSuspect","tags"
"crdfd_customer","18109","cr1bb_chinhsachcongno","Chính sách công nợ","Lookup","True","3","18106","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","cr1bb_chinhsachcongnoname","cr1bb_chinhsachcongnoname","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","cr1bb_nhanviencongnoname","cr1bb_nhanviencongnoname","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","cr1bb_phanloai","Phân loại","Picklist","True","3","18106","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","cr1bb_supervisorname","cr1bb_supervisorname","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","cr3b9_nguoi_xacminh_toadoname","cr3b9_nguoi_xacminh_toadoname","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","crdfd_localname","crdfd_localname","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","crdfd_localyominame","crdfd_localyominame","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","crdfd_macu","Mã cũ","String","True","0","18109","100","True","🔴 high-null; ⚠️ suspect-name; 💀 completely-empty"
"crdfd_customer","18109","crdfd_nhaxename","crdfd_nhaxename","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","crdfd_quanhuyenname","crdfd_quanhuyenname","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","crdfd_salenamename","crdfd_salenamename","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","crdfd_tenthuongmainame","crdfd_tenthuongmainame","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","crdfd_tinhthanhname","crdfd_tinhthanhname","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","new_address_post_merger","Address (Post-Merger)","String","True","4","18105","100","True","🔴 high-null; ⚠️ suspect-name; 💀 completely-empty"
"crdfd_customer","18109","wc001_vitrikhoname","wc001_vitrikhoname","String","True","0","18109","100","False","🔴 high-null; 💀 completely-empty"
"crdfd_customer","18109","wcg_customer_source","Customer Source","Picklist","True","0","18109","100","True","🔴 high-null; ⚠️ suspect-name; 💀 completely-empty"
